User,Screen Name,Location,Profile Description,Profile Image,Following,Followers,Url,Date Created,Number of Retweets,Number of Likes,Source of Tweet,Tweet,Truncated Flag,Tweet Hashtags,Reply to Status,Quote Flag
brendan kent,brendankent,pnw 🏔,tweeting about analytics in tech & sports • lead product analyst @lyft • previously @draftkings @timbersfc @harvard,https://pbs.twimg.com/profile_images/1567963941665648640/d1jn_tpo_normal.jpg,140,4992,https://t.co/laas2ceyus,2022-10-18 16:45:31+00:00,0,0,typefully,"📊 sports viz sundays

includes datasets for a variety of sports
https://t.co/n9vkzh7k56",false,[],332664399.0,false
amanyiraho robinson 🇺🇬,amanyiraho,kampala,"data visualisation | dashboards | at https://t.co/gzi7lplxth
#dataviz #shiny #powerbi #tableau
~every company is a data company~
~a dataviz tells a thousand words~",https://pbs.twimg.com/profile_images/1256400217789923332/vot5mszu_normal.jpg,845,347,https://t.co/murtuz7kxx,2022-10-16 14:47:43+00:00,4,0,twitter web app,"rt @_cjmayes: your weekly dose of sports content, every sunday. #sportsvizsunday ⚽️⚾️🎾

https://t.co/wci5typbyl",false,"[{'text': 'sportsvizsunday', 'indices': [64, 80]}]",nan,false
damola ladipo 🐢,adedamolaladipo,"washington, dc",data visualization specialist | 6 x #vizoftheday | ‘21 tableau public featured author | ‘22 tableau public ambassador #coyi,https://pbs.twimg.com/profile_images/1558080119163559936/kvpfvsnq_normal.jpg,2690,1713,https://t.co/5xxw6sf8hj,2022-10-16 14:01:52+00:00,4,0,twitter for iphone,"rt @_cjmayes: your weekly dose of sports content, every sunday. #sportsvizsunday ⚽️⚾️🎾

https://t.co/wci5typbyl",false,"[{'text': 'sportsvizsunday', 'indices': [64, 80]}]",nan,false
smukherjee,drmukherjees,europe,"hobbyist. data analyst @hac_foot .
ex data analyst @standard_rscl,  @kvkofficieel & a se asian club. 
part time scout for a football agency.
opinions mine",https://pbs.twimg.com/profile_images/1559460579911376898/nmhabz_-_normal.jpg,3064,7001,nan,2022-10-16 11:33:50+00:00,0,8,twitter for android,"my referee radars feature in this week's 
#sportsvizsunday https://t.co/tymuvvrwim",false,"[{'text': 'sportsvizsunday', 'indices': [42, 58]}]",nan,true
mo wootten,mo_wootten,"london, england",senior analyst in sport + #tableau public ambassador 2022 + #sportsvizsunday + #t1d = me. views are my own and i may change my mind from time to time.,https://pbs.twimg.com/profile_images/1285647484681965568/cuyirjgz_normal.jpg,1110,676,nan,2022-10-16 11:30:30+00:00,4,0,twitter for iphone,"rt @_cjmayes: your weekly dose of sports content, every sunday. #sportsvizsunday ⚽️⚾️🎾

https://t.co/wci5typbyl",false,"[{'text': 'sportsvizsunday', 'indices': [64, 80]}]",nan,false
peter kelley,peterakelley,"north carolina, usa",gator grad | bi specialist @tdbank_us | @tableau developer,https://pbs.twimg.com/profile_images/1490658859500855300/x-t7ndq2_normal.jpg,156,222,nan,2022-10-16 11:07:19+00:00,4,0,twitter for iphone,"rt @_cjmayes: your weekly dose of sports content, every sunday. #sportsvizsunday ⚽️⚾️🎾

https://t.co/wci5typbyl",false,"[{'text': 'sportsvizsunday', 'indices': [64, 80]}]",nan,false
cj mayes,_cjmayes,"london, uk",#sportsvizsunday | tableau visionary & ambassador | https://t.co/njkto16szh | enablement @jll,https://pbs.twimg.com/profile_images/1387386576284569602/iewnimub_normal.jpg,1803,3816,https://t.co/ymums8nrjv,2022-10-16 08:08:16+00:00,4,21,twitter web app,"your weekly dose of sports content, every sunday. #sportsvizsunday ⚽️⚾️🎾

https://t.co/wci5typbyl",false,"[{'text': 'sportsvizsunday', 'indices': [50, 66]}]",nan,false
abas📊,a_nkanang,"uyo, nigeria","data analytics📊 || @tableau student ambassador '22 || computer engineering student || i communicate insights using data visualizations.

mufc❤️",https://pbs.twimg.com/profile_images/1532750876410007553/-ip6wrvx_normal.jpg,195,214,nan,2022-10-15 14:21:53+00:00,4,0,twitter for android,"rt @adedamolaladipo: erling haaland is currently leading the premier league ⏲️minutes-per-goal⚽️ ratio as of matchweek 10, with 15 goals in…",false,[],nan,false
ali-thedataguy,emeritusali,nigeria.,internet-taught data scientist/analyst || @tableau student ambassador || final-year student of statistics @oauniversity  || #datafam 1st son😂.,https://pbs.twimg.com/profile_images/1534785368955961344/x6kartdz_normal.jpg,335,468,https://t.co/koo0vra3dy,2022-10-15 13:30:46+00:00,4,0,twitter for android,"rt @adedamolaladipo: erling haaland is currently leading the premier league ⏲️minutes-per-goal⚽️ ratio as of matchweek 10, with 15 goals in…",false,[],nan,false
deborah simmonds,finkledeb,nan,https://t.co/p9cnlhmwf0,https://pbs.twimg.com/profile_images/1421945379336167429/j5g2pntb_normal.jpg,1029,697,nan,2022-10-15 08:02:45+00:00,1,0,twitter for android,rt @greenynorfolk: so hoping (and looking out for) #sportsvizsunday inspired #ironviz entries to start rolling in. many datasets on their s…,false,"[{'text': 'sportsvizsunday', 'indices': [51, 67]}, {'text': 'ironviz', 'indices': [77, 85]}]",nan,false
adam green,greenynorfolk,"happisburgh, england",tweets about data | works for @jll | #tableau public ambassador 22/23 | profile: https://t.co/ntd9mwy9x2,https://pbs.twimg.com/profile_images/1461826643761238018/8o9p3hae_normal.jpg,970,1356,https://t.co/xy06cf58wj,2022-10-15 08:00:41+00:00,0,4,twitter for iphone,"sports and games vizzes are some of my fav topics to have fun with, if your struggling with the ideas maybe these b… https://t.co/cusgoudndb",true,[],7.689023504424673e+17,false
adam green,greenynorfolk,"happisburgh, england",tweets about data | works for @jll | #tableau public ambassador 22/23 | profile: https://t.co/ntd9mwy9x2,https://pbs.twimg.com/profile_images/1461826643761238018/8o9p3hae_normal.jpg,970,1356,https://t.co/xy06cf58wj,2022-10-15 07:56:08+00:00,1,11,twitter for iphone,so hoping (and looking out for) #sportsvizsunday inspired #ironviz entries to start rolling in. many datasets on th… https://t.co/ch4bkdahsj,true,"[{'text': 'sportsvizsunday', 'indices': [32, 48]}, {'text': 'ironviz', 'indices': [58, 66]}]",nan,false
dzifa,datadzif,always cheesin😁,"tableau social ambassador • certified gif enthusiast •💖data, bubble tea, memes, & bad reality tv🤩 • tweets about tableau + data viz + random • she/her 🇬🇭✨",https://pbs.twimg.com/profile_images/1537977305049337857/fr9_-zun_normal.jpg,2104,2249,https://t.co/7yttqgd4em,2022-10-14 22:46:40+00:00,4,0,twitter for iphone,"rt @adedamolaladipo: erling haaland is currently leading the premier league ⏲️minutes-per-goal⚽️ ratio as of matchweek 10, with 15 goals in…",false,[],nan,false
chinel,culnelly,nan,in relationship with 🌾| disconnected from @arsenal,https://pbs.twimg.com/profile_images/1570381442437234690/95stvjkb_normal.jpg,346,346,nan,2022-10-14 22:19:19+00:00,4,0,twitter for iphone,"rt @adedamolaladipo: erling haaland is currently leading the premier league ⏲️minutes-per-goal⚽️ ratio as of matchweek 10, with 15 goals in…",false,[],nan,false
damola ladipo 🐢,adedamolaladipo,"washington, dc",data visualization specialist | 6 x #vizoftheday | ‘21 tableau public featured author | ‘22 tableau public ambassador #coyi,https://pbs.twimg.com/profile_images/1558080119163559936/kvpfvsnq_normal.jpg,2690,1713,https://t.co/5xxw6sf8hj,2022-10-14 21:36:28+00:00,4,23,twitter web app,"erling haaland is currently leading the premier league ⏲️minutes-per-goal⚽️ ratio as of matchweek 10, with 15 goals… https://t.co/9i0gi6dnda",true,[],nan,false
peter kelley,peterakelley,"north carolina, usa",gator grad | bi specialist @tdbank_us | @tableau developer,https://pbs.twimg.com/profile_images/1490658859500855300/x-t7ndq2_normal.jpg,156,222,nan,2022-10-14 13:00:02+00:00,0,7,twitter web app,did a bit of digging for tennis content and found match by match data for the last 10 years.  check out this viz lo… https://t.co/dh9v7ipzxa,true,[],nan,false
spencer baucke,jsbaucke,"cincinnati, oh",director @phdatainc ● cofounder #sportsvizsunday ● #workoutwednesday power bi ● https://t.co/qxngij7tn0 ● cincinnati everything,https://pbs.twimg.com/profile_images/1268153811278991363/lct4afzz_normal.jpg,1467,3579,https://t.co/pgcmkwikdc,2022-10-14 12:14:00+00:00,0,35,twitter web app,"last year @reds coo phil castellini asked fans - ""where ya gonna go?"" in response to a question about trading sever… https://t.co/8mzzuxnu5m",true,[],nan,false
cj mayes,_cjmayes,"london, uk",#sportsvizsunday | tableau visionary & ambassador | https://t.co/njkto16szh | enablement @jll,https://pbs.twimg.com/profile_images/1387386576284569602/iewnimub_normal.jpg,1803,3816,https://t.co/ymums8nrjv,2022-10-13 16:06:28+00:00,0,15,twitter web app,#sportsvizsunday sports dashboards about to come a lot easier👇 https://t.co/azezrvoohv,false,"[{'text': 'sportsvizsunday', 'indices': [0, 16]}]",nan,true
simon beaumont,simonbeaumont04,"liss, england",jll b.i director | #tableau visionary & ambassador | #ironviz 2020 finalist | #tableau desktop certified | co-lead #sportsvizsunday,https://pbs.twimg.com/profile_images/1547318445854933000/ckmduuga_normal.jpg,1359,5932,https://t.co/oowzmlveg7,2022-10-11 17:01:55+00:00,0,5,twitter for iphone,"balls. #sportsvizsunday. fin

great effort this week from across the community, check out the spherical inspiration… https://t.co/thc7eutnlm",true,"[{'text': 'sportsvizsunday', 'indices': [7, 23]}]",nan,true
simon rowe,mrroweuk,london,data storyteller and @tableau enthusiast | tableau desktop certified associate | 4 x #votd | @tonbridgeangels | views are my own,https://pbs.twimg.com/profile_images/2363957398/image_normal.jpg,1699,1741,https://t.co/wro1tfl0a5,2022-10-10 10:01:56+00:00,0,3,twitter for iphone,"as usual, a #sportsvizsunday weekly-roundup packed full of amazing content. 👇🏻 https://t.co/5sncxzfxkf",false,"[{'text': 'sportsvizsunday', 'indices': [12, 28]}]",nan,true
simon beaumont,simonbeaumont04,"liss, england",jll b.i director | #tableau visionary & ambassador | #ironviz 2020 finalist | #tableau desktop certified | co-lead #sportsvizsunday,https://pbs.twimg.com/profile_images/1547318445854933000/ckmduuga_normal.jpg,1359,5932,https://t.co/oowzmlveg7,2022-10-19 08:52:39+00:00,0,4,twitter for iphone,"came for the data, geeked out over the f1 car 😁 may have been a little bit excited when i saw this at… https://t.co/ea9yysckzr",true,[],nan,false
kb,katebrown_5,,once in a while you get shown the light in the strangest of places if you look at it right,https://pbs.twimg.com/profile_images/1581355824764653571/gu9a1--a_normal.jpg,479,1652,none,2022-10-19 07:40:53+00:00,0,1,twitter for android,great resources for sports projects from brendan! thanks for including #sportsvizsunday! https://t.co/fhm7jdbt75,false,"[{'text': 'sportsvizsunday', 'indices': [71, 87]}]",nan,true
